Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Setúria Seturia NULL 42.55 1.43333 ADMD 0
Tarteres_de_la_Serrera Tarteres_de_la_Serrera NULL 42.61667 1.58333 TAL 0
Riu_de_la_Serrera Riu_de_la_Serrera NULL 42.61667 1.56667 STM 0
Pleta_de_la_Serrera Pleta_de_la_Serrera NULL 42.61667 1.58333 GRAZ 0
Pic_de_la_Serrera Pic_de_la_Serrera Pic_de_Serrere,Pic_de_Serrère,Pic_de_la_Serrera,Serrera 42.63333 1.6 PK 0
Pas_de_la_Serrera Pas_de_la_Serrera NULL 42.61667 1.58333 PASS 0
Clots_de_la_Serrera Clots_de_la_Serrera NULL 42.61667 1.6 STMH 0
Aspres_de_la_Serrera Aspres_de_la_Serrera NULL 42.61667 1.6 VINS 0
Canal_de_Serrats Canal_de_Serrats NULL 42.53333 1.5 STM 0
Camí_del_Serrat_Pla Cami_del_Serrat_Pla NULL 42.43333 1.46667 TRL 0
Bosc_del_Serrat_Llong Bosc_del_Serrat_Llong NULL 42.51667 1.48333 FRST 0
Planell_del_Serrat_del_Tronc Planell_del_Serrat_del_Tronc NULL 42.58333 1.61667 UPLD 0
Cabana_del_Serrat_de_la_Barracota Cabana_del_Serrat_de_la_Barracota NULL 42.48333 1.63333 HUT 0
Pic_de_Serra_Seca Pic_de_Serra_Seca NULL 42.51667 1.7 PK 0
Canal_de_Serra_Plana Canal_de_Serra_Plana NULL 42.48333 1.48333 STM 0
Riu_de_Serrana Riu_de_Serrana NULL 42.55 1.51667 STM 0
Pic_de_Serra_Mitjana Pic_de_Serra_Mitjana NULL 42.47479 1.61523 PK 0
Estany_de_Serra_Mitjana Estany_de_Serra_Mitjana NULL 42.46667 1.6 LK 0
Canal_Ampla_de_Serra_Mitjana Canal_Ampla_de_Serra_Mitjana NULL 42.46667 1.61667 STM 0
Canal_de_la_Serradora Canal_de_la_Serradora NULL 42.48333 1.46667 STM 0
Canal_Serradora Canal_Serradora NULL 42.5 1.56667 STM 0
Cap_de_la_Serra_dels_Isards Cap_de_la_Serra_dels_Isards NULL 42.58333 1.58333 PK 0
Serrat_dels_Serradells Serrat_dels_Serradells NULL 42.61667 1.53333 SPUR 0
Cortal_de_la_Serra Cortal_de_la_Serra NULL 42.53333 1.5 CRRL 0
Cap_de_la_Serra Cap_de_la_Serra NULL 42.61667 1.6 RDGE 0
Roc_de_la_Senyoreta Roc_de_la_Senyoreta NULL 42.45 1.48333 RK 0
Bosc_de_la_Senyoreta Bosc_de_la_Senyoreta NULL 42.45 1.48333 FRST 0
Senyal_Negre Senyal_Negre NULL 42.65 1.55 MT 0
